in s,C1 in V,C2 in V,C3 in V
-1.0960236E-02,1.883078544707E-02,-8.34996642033E-01,3.671975500682E-02
-1.0960052E-02,1.883287786230E-02,-8.35334577085E-01,3.671907108078E-02
-1.0959868E-02,1.883305068201E-02,-8.35075839376E-01,3.672069198253E-02
-1.0959684E-02,1.883055194354E-02,-8.35239810357E-01,3.671941235928E-02
-1.0959500E-02,1.883177371187E-02,-8.35296362592E-01,3.672245956758E-02
-1.0959316E-02,1.882908366577E-02,-8.35149998264E-01,3.672249142813E-02
-1.0959132E-02,1.883059383909E-02,-8.34896431724E-01,3.672047291683E-02
-1.0958948E-02,1.882878325254E-02,-8.35313256783E-01,3.671984755235E-02
-1.0958764E-02,1.882968688806E-02,-8.35200003302E-01,3.671902012812E-02
-1.0958580E-02,1.882793082114E-02,-8.35336362896E-01,3.671845292939E-02
-1.0958396E-02,1.882598972254E-02,-8.35137707135E-01,3.671929549692E-02
-1.0958212E-02,1.882612425441E-02,-8.35614027409E-01,3.671983666053E-02
-1.0958028E-02,1.882421849252E-02,-8.35418130690E-01,3.671771490281E-02
-1.0957844E-02,1.882947660590E-02,-8.35234383075E-01,3.671835855382E-02
-1.0957660E-02,1.882458012042E-02,-8.35409648670E-01,3.671926702173E-02
-1.0957476E-02,1.882294444440E-02,-8.35486105597E-01,3.671862416236E-02
-1.0957292E-02,1.882504424968E-02,-8.35708570620E-01,3.671877184218E-02
-1.0957108E-02,1.882429769103E-02,-8.35200333921E-01,3.671919823891E-02
-1.0956924E-02,1.882883096653E-02,-8.35316481488E-01,3.671944415463E-02
-1.0956740E-02,1.882669666855E-02,-8.35501756472E-01,3.671965195132E-02
-1.0956556E-02,1.882974937748E-02,-8.35841591423E-01,3.671773783663E-02
-1.0956372E-02,1.882556175071E-02,-8.35863854690E-01,3.671876806101E-02
-1.0956188E-02,1.882357912793E-02,-8.35569200525E-01,3.671958496129E-02
-1.0956004E-02,1.882384190060E-02,-8.35452689743E-01,3.672021170879E-02
-1.0955820E-02,1.882569105787E-02,-8.35681653069E-01,3.671916880446E-02
-1.0955636E-02,1.882069696513E-02,-8.35287680337E-01,3.672079679357E-02
-1.0955452E-02,1.882083638179E-02,-8.35077196779E-01,3.671852180069E-02
-1.0955268E-02,1.882079204268E-02,-8.35715630045E-01,3.671927556196E-02
-1.0955084E-02,1.882113237473E-02,-8.35466363886E-01,3.671983354526E-02
-1.0954900E-02,1.881834020795E-02,-8.35759737482E-01,3.671898683799E-02
-1.0954716E-02,1.882123329633E-02,-8.35753455712E-01,3.671960943179E-02
-1.0954532E-02,1.881992240160E-02,-8.35292930668E-01,3.672065595431E-02
-1.0954348E-02,1.882073310393E-02,-8.35521826474E-01,3.671945169369E-02
-1.0954164E-02,1.882173095670E-02,-8.35548567073E-01,3.671808692893E-02
-1.0953980E-02,1.882210330063E-02,-8.35756491823E-01,3.671853299985E-02
-1.0953796E-02,1.882217636638E-02,-8.35636814544E-01,3.671785950927E-02
-1.0953612E-02,1.882434944113E-02,-8.35491036950E-01,3.671971490873E-02
-1.0953428E-02,1.882862784158E-02,-8.35732982913E-01,3.671772633946E-02
-1.0953244E-02,1.882713392334E-02,-8.35142144887E-01,3.671821316971E-02
-1.0953060E-02,1.882970107792E-02,-8.35834627459E-01,3.671746399054E-02
-1.0952876E-02,1.883119534076E-02,-8.35574464826E-01,3.671799102599E-02
-1.0952692E-02,1.883187497108E-02,-8.35878839670E-01,3.671900653081E-02
-1.0952508E-02,1.883016475433E-02,-8.35994621692E-01,3.671774123596E-02
-1.0952324E-02,1.883231574161E-02,-8.35863917554E-01,3.671694057794E-02
-1.0952140E-02,1.883518685311E-02,-8.35911198473E-01,3.671684741309E-02
-1.0951956E-02,1.883397043174E-02,-8.35950898426E-01,3.671632424729E-02
-1.0951772E-02,1.883258824193E-02,-8.35953226732E-01,3.671698380528E-02
-1.0951588E-02,1.882762311100E-02,-8.36084724823E-01,3.671679712167E-02
-1.0951404E-02,1.883177494354E-02,-8.36224222975E-01,3.671750655198E-02
-1.0951220E-02,1.883852939427E-02,-8.35929415142E-01,3.671777292421E-02
-1.0951036E-02,1.883602723669E-02,-8.36218930734E-01,3.671713932218E-02
-1.0950852E-02,1.883789623113E-02,-8.35961522488E-01,3.671671552850E-02
-1.0950668E-02,1.883803913909E-02,-8.35573393805E-01,3.671885134919E-02
-1.0950484E-02,1.883937426799E-02,-8.36065818975E-01,3.671819174463E-02
-1.0950300E-02,1.884032545452E-02,-8.36106168525E-01,3.671789620338E-02
-1.0950116E-02,1.883797098141E-02,-8.35829982487E-01,3.671913503004E-02
-1.0949932E-02,1.883715559685E-02,-8.36014067708E-01,3.671962521771E-02
-1.0949748E-02,1.883548293685E-02,-8.36338289035E-01,3.671919003395E-02
-1.0949564E-02,1.883303378898E-02,-8.36196015542E-01,3.671994095935E-02
-1.0949380E-02,1.883305728392E-02,-8.36155831302E-01,3.672206603723E-02
-1.0949196E-02,1.882911173351E-02,-8.36312207347E-01,3.672069408266E-02
-1.0949012E-02,1.883062153196E-02,-8.36001944216E-01,3.672002996584E-02
-1.0948828E-02,1.883460785917E-02,-8.36098529352E-01,3.672045150107E-02
-1.0948644E-02,1.883420956278E-02,-8.36277403822E-01,3.671918731915E-02
-1.0948460E-02,1.883578765279E-02,-8.36049960880E-01,3.672066521632E-02
-1.0948276E-02,1.883682450003E-02,-8.35925990203E-01,3.672055237727E-02
-1.0948092E-02,1.883684870394E-02,-8.36416585324E-01,3.671954710303E-02
-1.0947908E-02,1.883388873146E-02,-8.36126189632E-01,3.671941691345E-02
-1.0947724E-02,1.883108895811E-02,-8.36107004387E-01,3.671881472027E-02
-1.0947540E-02,1.883325565330E-02,-8.36019478692E-01,3.671839698019E-02
-1.0947356E-02,1.882936941882E-02,-8.36601280561E-01,3.671944755396E-02
-1.0947172E-02,1.883028420111E-02,-8.36250225501E-01,3.671969228691E-02
-1.0946988E-02,1.883252316460E-02,-8.36653844407E-01,3.671975290669E-02
-1.0946804E-02,1.883509205960E-02,-8.36028668517E-01,3.671931503607E-02
-1.0946620E-02,1.883382169370E-02,-8.36376685137E-01,3.671904895721E-02
-1.0946436E-02,1.883485743034E-02,-8.36205971381E-01,3.671867708942E-02
-1.0946252E-02,1.883873059022E-02,-8.36015909398E-01,3.671856022241E-02
-1.0946068E-02,1.883487857020E-02,-8.35938411718E-01,3.672175351331E-02
-1.0945884E-02,1.883650561169E-02,-8.36390729481E-01,3.672123473404E-02
-1.0945700E-02,1.883087170849E-02,-8.36514658248E-01,3.672229323337E-02
-1.0945516E-02,1.883063757516E-02,-8.36670175148E-01,3.672126028022E-02
-1.0945332E-02,1.882908735032E-02,-8.36724082427E-01,3.672081910340E-02
-1.0945148E-02,1.882992836720E-02,-8.36514823558E-01,3.672007339342E-02
-1.0944964E-02,1.882972608277E-02,-8.36482536932E-01,3.672097841078E-02
-1.0944780E-02,1.883040511239E-02,-8.36405078834E-01,3.671895910786E-02
-1.0944596E-02,1.883149503221E-02,-8.36444748519E-01,3.671991626533E-02
-1.0944412E-02,1.883133537558E-02,-8.37021612050E-01,3.672026701072E-02
-1.0944228E-02,1.883039975146E-02,-8.36368827103E-01,3.671874597935E-02
-1.0944044E-02,1.883483302503E-02,-8.36596670514E-01,3.672117192565E-02
-1.0943860E-02,1.883419683625E-02,-8.36425712286E-01,3.672087428426E-02
-1.0943676E-02,1.882933773523E-02,-8.36920950050E-01,3.672110345947E-02
-1.0943492E-02,1.883088542454E-02,-8.36619886057E-01,3.672038841328E-02
-1.0943308E-02,1.882721102753E-02,-8.37070469232E-01,3.672075462794E-02
-1.0943124E-02,1.883141299550E-02,-8.36517291563E-01,3.671975059701E-02
-1.0942940E-02,1.883197561445E-02,-8.36443020916E-01,3.671957937801E-02
-1.0942756E-02,1.882755376122E-02,-8.36271052202E-01,3.672198140794E-02
-1.0942572E-02,1.883101394822E-02,-8.36868984578E-01,3.672143925713E-02
-1.0942388E-02,1.883282093870E-02,-8.36501235561E-01,3.672085812116E-02
-1.0942204E-02,1.883579694506E-02,-8.36300237523E-01,3.672147350187E-02
-1.0942020E-02,1.883362061999E-02,-8.36163870944E-01,3.671913589617E-02
-1.0941836E-02,1.883266670819E-02,-8.36749875406E-01,3.671906950684E-02
