in s,C1 in V,C4 in V
-8.2396000E-03,2.090941776106E+01,-3.81324512311E+00
-8.2394168E-03,2.089323165411E+01,-3.86484996309E+00
-8.2392336E-03,2.090567363011E+01,-3.87722506314E+00
-8.2390504E-03,2.088515185801E+01,-3.90276560686E+00
-8.2388672E-03,2.092415775688E+01,-3.87281300393E+00
-8.2386840E-03,2.089379408447E+01,-3.90452213944E+00
-8.2385008E-03,2.091262712659E+01,-3.84105835003E+00
-8.2383176E-03,2.091665328996E+01,-3.88550954997E+00
-8.2381344E-03,2.090611152867E+01,-3.87553754156E+00
-8.2379512E-03,2.090340647897E+01,-3.87734698490E+00
-8.2377680E-03,2.089535893457E+01,-3.88153246497E+00
-8.2375848E-03,2.090879302057E+01,-3.85802046987E+00
-8.2374016E-03,2.091136552909E+01,-3.83178589293E+00
-8.2372184E-03,2.091416507078E+01,-3.83083986710E+00
-8.2370352E-03,2.091044505643E+01,-3.87553017247E+00
-8.2368520E-03,2.092228321875E+01,-3.90228623184E+00
-8.2366688E-03,2.089641912425E+01,-3.89389663362E+00
-8.2364856E-03,2.090032117492E+01,-3.86055965102E+00
-8.2363024E-03,2.089877517013E+01,-3.85139301545E+00
-8.2361192E-03,2.088000179784E+01,-3.88899221909E+00
-8.2359360E-03,2.089899124162E+01,-3.86531738224E+00
-8.2357528E-03,2.089764499156E+01,-3.85334694185E+00
-8.2355696E-03,2.091853501325E+01,-3.81535035451E+00
-8.2353864E-03,2.090966463139E+01,-3.85109940437E+00
-8.2352032E-03,2.088277520197E+01,-3.88565069190E+00
-8.2350200E-03,2.088930769874E+01,-3.87316285525E+00
-8.2348368E-03,2.089184907315E+01,-3.87419421352E+00
-8.2346536E-03,2.090317580899E+01,-3.88612354766E+00
-8.2344704E-03,2.090589116843E+01,-3.85819978439E+00
-8.2342872E-03,2.090948219461E+01,-3.81088724718E+00
-8.2341040E-03,2.090144192850E+01,-3.83709090422E+00
-8.2339208E-03,2.090818238961E+01,-3.86784283803E+00
-8.2337376E-03,2.088670115037E+01,-3.83940015347E+00
-8.2335544E-03,2.091163352648E+01,-3.88624217487E+00
-8.2333712E-03,2.089039516220E+01,-3.85461802254E+00
-8.2331880E-03,2.089757708883E+01,-3.88887823685E+00
-8.2330048E-03,2.091038908860E+01,-3.85648755948E+00
-8.2328216E-03,2.089968455540E+01,-3.90994973606E+00
-8.2326384E-03,2.090661813555E+01,-3.88924023029E+00
-8.2324552E-03,2.089176496541E+01,-3.90291516562E+00
-8.2322720E-03,2.089595968885E+01,-3.86350485389E+00
-8.2320888E-03,2.089970418302E+01,-3.87549468908E+00
-8.2319056E-03,2.092442399872E+01,-3.85360321854E+00
-8.2317224E-03,2.088576981382E+01,-3.85595018636E+00
-8.2315392E-03,2.090781979313E+01,-3.85772477495E+00
-8.2313560E-03,2.089625784712E+01,-3.87014764021E+00
-8.2311728E-03,2.088921674112E+01,-3.86518414491E+00
-8.2309896E-03,2.088928937962E+01,-3.84942622515E+00
-8.2308064E-03,2.090431236247E+01,-3.84395714975E+00
-8.2306232E-03,2.089122197641E+01,-3.90661428575E+00
-8.2304400E-03,2.091944605628E+01,-3.86430896944E+00
-8.2302568E-03,2.090781426108E+01,-3.87764880327E+00
-8.2300736E-03,2.088032355117E+01,-3.89266981403E+00
-8.2298904E-03,2.090390505785E+01,-3.83269577180E+00
-8.2297072E-03,2.088378121661E+01,-3.81576616676E+00
-8.2295240E-03,2.089393714027E+01,-3.81554936650E+00
-8.2293408E-03,2.091698501309E+01,-3.91086691418E+00
-8.2291576E-03,2.090020696683E+01,-3.80444533550E+00
-8.2289744E-03,2.090263545563E+01,-3.85085220807E+00
-8.2287912E-03,2.088896276480E+01,-3.83709912314E+00
-8.2286080E-03,2.090857585477E+01,-3.87736630985E+00
-8.2284248E-03,2.090058458554E+01,-3.82079816083E+00
-8.2282416E-03,2.089248610245E+01,-3.85043776953E+00
-8.2280584E-03,2.089939488148E+01,-3.85708162687E+00
-8.2278752E-03,2.088715738667E+01,-3.82465266050E+00
-8.2276920E-03,2.089975237431E+01,-3.85422510919E+00
-8.2275088E-03,2.091313696982E+01,-3.84971562200E+00
-8.2273256E-03,2.090017907372E+01,-3.81870079911E+00
-8.2271424E-03,2.091100122830E+01,-3.84882491673E+00
-8.2269592E-03,2.090558195537E+01,-3.82794708605E+00
-8.2267760E-03,2.089626577733E+01,-3.84488940365E+00
-8.2265928E-03,2.091060669212E+01,-3.81902514384E+00
-8.2264096E-03,2.090453672273E+01,-3.86954017342E+00
-8.2262264E-03,2.090847369334E+01,-3.86065739333E+00
-8.2260432E-03,2.091513952756E+01,-3.86170390886E+00
-8.2258600E-03,2.088909826292E+01,-3.90214879191E+00
-8.2256768E-03,2.092160366992E+01,-3.84373438903E+00
-8.2254936E-03,2.091260191103E+01,-3.91012810762E+00
-8.2253104E-03,2.089744754652E+01,-3.86154982154E+00
-8.2251272E-03,2.088389468430E+01,-3.88841929273E+00
-8.2249440E-03,2.088867879989E+01,-3.89149320438E+00
-8.2247608E-03,2.090188168971E+01,-3.87565136082E+00
-8.2245776E-03,2.088949618446E+01,-3.86066966350E+00
-8.2243944E-03,2.088135064164E+01,-3.83342397292E+00
-8.2242112E-03,2.089732850952E+01,-3.82235386535E+00
-8.2240280E-03,2.089556137150E+01,-3.85412521320E+00
-8.2238448E-03,2.090539226359E+01,-3.81908439924E+00
-8.2236616E-03,2.090480004953E+01,-3.83256353564E+00
-8.2234784E-03,2.091709123975E+01,-3.81390128643E+00
-8.2232952E-03,2.090224624662E+01,-3.84109245972E+00
-8.2231120E-03,2.090846155355E+01,-3.85040698932E+00
-8.2229288E-03,2.090246233208E+01,-3.84108532346E+00
-8.2227456E-03,2.091248754928E+01,-3.82193148728E+00
-8.2225624E-03,2.090057298591E+01,-3.84614998368E+00
-8.2223792E-03,2.087895428346E+01,-3.84671796239E+00
-8.2221960E-03,2.089743991898E+01,-3.88457940319E+00
-8.2220128E-03,2.089964563543E+01,-3.85785135333E+00
-8.2218296E-03,2.089444777979E+01,-3.83799328594E+00
-8.2216464E-03,2.090145702524E+01,-3.86638045204E+00
-8.2214632E-03,2.089555064267E+01,-3.85393501385E+00
-8.2212800E-03,2.090583783159E+01,-3.83351686071E+00
-8.2210968E-03,2.091206464035E+01,-3.85074172993E+00
-8.2209136E-03,2.089878306309E+01,-3.88384458967E+00
-8.2207304E-03,2.090580562646E+01,-3.79676906052E+00
-8.2205472E-03,2.090260929478E+01,-3.89451645208E+00
-8.2203640E-03,2.089443812663E+01,-3.87271700785E+00
-8.2201808E-03,2.088865411052E+01,-3.83610224710E+00
-8.2199976E-03,2.089269663258E+01,-3.80766256605E+00
-8.2198144E-03,2.092259516990E+01,-3.84602930755E+00
-8.2196312E-03,2.091837571519E+01,-3.87916325019E+00
-8.2194480E-03,2.090172903663E+01,-3.86170426975E+00
-8.2192648E-03,2.091625583408E+01,-3.86553890896E+00
-8.2190816E-03,2.091788359968E+01,-3.81152214142E+00
-8.2188984E-03,2.091363227511E+01,-3.86237652167E+00
-8.2187152E-03,2.091458970731E+01,-3.84353379379E+00
-8.2185320E-03,2.088564455094E+01,-3.82619191553E+00
-8.2183488E-03,2.089168145837E+01,-3.87633492830E+00
-8.2181656E-03,2.089373545306E+01,-3.81987282201E+00
-8.2179824E-03,2.089208106561E+01,-3.86127896965E+00
-8.2177992E-03,2.090186202018E+01,-3.80912462608E+00
-8.2176160E-03,2.090939951645E+01,-3.84397212076E+00
-8.2174328E-03,2.088944809562E+01,-3.87230714443E+00
-8.2172496E-03,2.090876806578E+01,-3.83806174980E+00
-8.2170664E-03,2.089998107454E+01,-3.83878907780E+00
-8.2168832E-03,2.090921409944E+01,-3.89017196032E+00
-8.2167000E-03,2.090567844970E+01,-3.86065462264E+00
-8.2165168E-03,2.093636293015E+01,-3.87576863761E+00
-8.2163336E-03,2.089029965507E+01,-3.88624332738E+00
-8.2161504E-03,2.090541652920E+01,-3.78490269543E+00
-8.2159672E-03,2.090523275597E+01,-3.82096008291E+00
-8.2157840E-03,2.091552970516E+01,-3.84051008043E+00
-8.2156008E-03,2.087969961161E+01,-3.83568029976E+00
-8.2154176E-03,2.091002925815E+01,-3.84062125706E+00
-8.2152344E-03,2.090819098106E+01,-3.80065983520E+00
-8.2150512E-03,2.090706437876E+01,-3.85813923678E+00
-8.2148680E-03,2.090175841054E+01,-3.83324307515E+00
-8.2146848E-03,2.090795722840E+01,-3.83094625906E+00
-8.2145016E-03,2.088739482736E+01,-3.87459582309E+00
-8.2143184E-03,2.090801629754E+01,-3.88738029762E+00
-8.2141352E-03,2.090668010576E+01,-3.84750681589E+00
-8.2139520E-03,2.091354809752E+01,-3.81771146678E+00
-8.2137688E-03,2.089463728530E+01,-3.84928316236E+00
-8.2135856E-03,2.091630300092E+01,-3.82121319310E+00
-8.2134024E-03,2.089223740207E+01,-3.87704148781E+00
