XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,0.000001
500.044372,0.000001
500.526574,1.090575
501.008777,0.276031
501.490980,0.000001
501.973183,0.000001
502.455386,0.000001
502.937589,0.723799
503.419792,0.895308
503.901995,0.194371
504.384197,0.000001
504.866400,0.000001
505.348603,0.000001
505.830806,0.844088
506.313009,1.322103
506.795212,0.573524
507.277415,0.000001
507.759617,0.082916
508.241820,0.000001
508.724023,0.000001
509.206226,0.548662
509.688429,0.958263
510.170632,3.364499
510.652835,3.310283
511.135038,0.512179
511.617240,0.000001
512.099443,0.000001
512.581646,0.628530
513.063849,0.506265
513.546052,1.204887
514.028255,1.636308
514.510458,1.838012
514.992660,0.665495
515.474863,0.234617
515.957066,1.797124
516.439269,0.248957
516.921472,0.000001
517.403675,0.000001
517.885878,1.239670
518.368081,3.732934
518.850283,3.644610
519.332486,1.776223
519.814689,0.000001
520.296892,0.284025
520.779095,0.321599
521.261298,0.076532
521.743501,0.000001
522.225703,0.000001
522.707906,0.000001
523.190109,0.000001
523.672312,0.000001
524.154515,0.000001
524.636718,0.000001
525.118921,0.363411
525.601124,2.162959
526.083326,3.946393
526.565529,1.321183
527.047732,0.000001
527.529935,0.000001
528.012138,0.000001
528.494341,0.318611
528.976544,0.950712
529.458746,0.365959
529.940949,0.000001
530.423152,0.000001
530.905355,0.000001
531.387558,0.000001
531.869761,0.000001
532.351964,1.202046
532.834166,0.974457
533.316369,0.000001
533.798572,0.000001
534.280775,0.000001
534.762978,0.000001
535.245181,0.000001
535.727384,0.617055
536.209587,0.522435
536.691789,0.595956
537.173992,0.000001
537.656195,0.255956
538.138398,0.000001
538.620601,0.000001
539.102804,0.000001
539.585007,0.117503
540.067209,1.126933
540.549412,1.444645
541.031615,0.292569
541.513818,0.189071
541.996021,0.611054
542.478224,0.551133
542.960427,1.068803
543.442630,2.673261
543.924832,1.936542
544.407035,0.000001
544.889238,0.000001
545.371441,0.000001
545.853644,0.153457
546.335847,0.000001
546.818050,0.000001
547.300252,0.000001
547.782455,0.143441
548.264658,0.213264
548.746861,0.178174
549.229064,0.572503
549.711267,0.000001
550.193470,0.000001
550.675673,0.000001
551.157875,0.000001
551.640078,0.000001
552.122281,0.000001
552.604484,0.396328
553.086687,0.000001
553.568890,0.011219
554.051093,1.135208
554.533295,1.563256
555.015498,0.893541
555.497701,0.365035
555.979904,0.102025
556.462107,0.000001
556.944310,0.000001
557.426513,0.000001
557.908715,0.000001
558.390918,0.135888
558.873121,0.251761
559.355324,0.000001
559.837527,0.000001
560.319730,0.000001
560.801933,0.000001
561.284136,0.000001
561.766338,0.000001
562.248541,0.326342
562.730744,0.000001
563.212947,0.000001
563.695150,0.000001
564.177353,0.000001
564.659556,0.000001
565.141758,0.090989
565.623961,0.492873
566.106164,0.000001
566.588367,0.448218
567.070570,1.234083
567.552773,1.746304
568.034976,1.321948
568.517179,0.000001
568.999381,0.000001
569.481584,0.000001
569.963787,0.000001
570.445990,0.000001
570.928193,0.000001
571.410396,1.273525
571.892599,1.042725
572.374801,0.000001
572.857004,0.000001
573.339207,0.000001
573.821410,0.000001
574.303613,0.200711
574.785816,0.637898
575.268019,0.955517
575.750222,0.832956
576.232424,0.000001
576.714627,0.000001
577.196830,0.483432
577.679033,0.792324
578.161236,0.000001
578.643439,0.000001
579.125642,0.574066
579.607844,0.000001
