XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,7.256983
500.044372,5.685787
500.526574,4.806592
501.008777,6.495822
501.490980,7.877901
501.973183,5.780447
502.455386,4.403200
502.937589,4.596634
503.419792,6.344341
503.901995,8.012298
504.384197,7.217339
504.866400,6.462563
505.348603,6.344424
505.830806,6.508764
506.313009,7.211794
506.795212,8.844440
507.277415,8.305229
507.759617,6.098373
508.241820,5.705004
508.724023,5.990758
509.206226,6.674336
509.688429,6.735735
510.170632,6.334887
510.652835,7.611707
511.135038,7.727244
511.617240,7.223641
512.099443,6.793837
512.581646,5.135290
513.063849,5.342218
513.546052,5.547994
514.028255,5.032397
514.510458,5.197932
514.992660,5.906423
515.474863,7.325970
515.957066,6.990697
516.439269,6.027019
516.921472,3.276476
517.403675,2.707766
517.885878,5.715897
518.368081,6.574309
518.850283,7.500143
519.332486,7.056808
519.814689,5.596213
520.296892,5.820589
520.779095,7.377444
521.261298,9.559615
521.743501,8.674894
522.225703,6.449361
522.707906,5.573672
523.190109,7.085083
523.672312,8.321988
524.154515,8.307450
524.636718,7.758786
525.118921,6.845573
525.601124,7.376424
526.083326,6.807597
526.565529,6.289006
527.047732,5.661984
527.529935,5.773046
528.012138,7.269271
528.494341,6.140099
528.976544,5.245149
529.458746,5.672506
529.940949,5.760559
530.423152,5.364103
530.905355,5.317905
531.387558,5.024245
531.869761,5.632551
532.351964,7.302562
532.834166,5.809009
533.316369,5.103744
533.798572,6.844232
534.280775,7.920191
534.762978,8.207902
535.245181,7.436117
535.727384,6.093697
536.209587,5.291632
536.691789,5.735835
537.173992,6.204392
537.656195,6.679457
538.138398,6.798521
538.620601,7.219679
539.102804,7.864599
539.585007,6.826921
540.067209,5.223639
540.549412,5.142633
541.031615,6.434881
541.513818,5.741150
541.996021,4.837733
542.478224,4.908340
542.960427,5.261490
543.442630,7.245639
543.924832,8.010088
544.407035,6.532059
544.889238,4.822764
545.371441,6.185831
545.853644,6.906926
546.335847,4.568197
546.818050,5.061296
547.300252,7.258382
547.782455,8.143936
548.264658,7.817197
548.746861,7.465296
549.229064,6.655893
549.711267,6.807000
550.193470,7.398762
550.675673,6.105258
551.157875,5.430184
551.640078,5.227632
552.122281,5.923281
552.604484,6.528455
553.086687,6.526906
553.568890,6.478142
554.051093,6.318382
554.533295,6.902200
555.015498,6.320081
555.497701,5.910500
555.979904,5.899226
556.462107,6.133791
556.944310,6.463394
557.426513,5.966304
557.908715,5.989045
558.390918,5.798937
558.873121,6.031421
559.355324,5.476312
559.837527,4.637594
560.319730,5.024038
560.801933,5.533606
561.284136,6.262833
561.766338,6.461302
562.248541,6.674074
562.730744,6.529689
563.212947,6.014622
563.695150,5.433876
564.177353,5.636502
564.659556,6.292102
565.141758,6.225231
565.623961,7.391614
566.106164,7.174879
566.588367,4.786225
567.070570,4.863075
567.552773,7.131505
568.034976,7.743098
568.517179,7.450000
568.999381,6.509343
569.481584,5.196646
569.963787,6.104209
570.445990,6.477241
570.928193,5.825099
571.410396,5.310224
571.892599,6.021008
572.374801,6.844484
572.857004,5.388657
573.339207,5.277476
573.821410,6.237483
574.303613,6.582673
574.785816,6.779010
575.268019,7.172643
575.750222,7.922938
576.232424,8.274960
576.714627,6.961631
577.196830,4.992481
577.679033,5.560426
578.161236,5.495889
578.643439,4.705899
579.125642,5.181097
579.607844,5.559992
