XLabel,Wavenumber
YLabel,Response
FileType,Single Beam
DisplayDirection,20300
PeakDirection,20312
0.000000,-0.916861
0.482203,-1.088060
0.964406,-0.488690
1.446609,0.058452
1.928811,-0.068298
2.411014,0.157104
2.893217,0.164915
3.375420,0.368568
3.857623,0.629434
4.339826,0.866788
4.822029,1.216998
5.304232,1.275661
5.786434,1.353259
6.268637,1.198736
6.750840,1.029667
7.233043,0.862740
7.715246,0.642327
8.197449,0.566731
8.679652,0.383933
9.161854,0.299086
9.644057,0.176194
10.126260,0.115003
10.608463,0.078580
11.090666,0.017471
11.572869,0.052345
12.055072,-0.000490
12.537275,0.027659
13.019477,-0.007627
13.501680,-0.001314
13.983883,0.011485
14.466086,-0.006672
14.948289,0.026587
15.430492,-0.018644
15.912695,0.026269
16.394897,-0.002484
16.877100,0.000211
17.359303,0.000943
17.841506,-0.015824
18.323709,0.014921
18.805912,-0.012297
19.288115,0.016937
19.770317,-0.010489
20.252520,0.009003
20.734723,0.004813
21.216926,0.000818
21.699129,0.016009
22.181332,-0.009999
22.663535,0.010094
23.145738,-0.009257
23.627940,0.014702
24.110143,0.001325
24.592346,-0.000085
25.074549,0.005928
25.556752,-0.007555
26.038955,0.004946
26.521158,-0.009509
27.003360,0.008935
27.485563,-0.002762
27.967766,0.010206
28.449969,0.004268
28.932172,-0.004509
29.414375,0.004988
29.896578,-0.002040
30.378781,0.005766
30.860983,-0.016968
31.343186,-0.004344
31.825389,-0.008821
32.307592,-0.001843
32.789795,0.002642
33.271998,-0.007422
33.754201,0.005071
34.236403,-0.008051
34.718606,0.005919
35.200809,-0.001752
35.683012,0.000644
36.165215,-0.001619
36.647418,-0.006513
37.129621,0.002559
37.611824,-0.009605
38.094026,0.003464
38.576229,-0.006071
39.058432,-0.001985
39.540635,-0.005501
40.022838,-0.008334
40.505041,-0.002392
40.987244,-0.007889
41.469446,0.005286
41.951649,-0.004161
42.433852,0.003690
42.916055,-0.001425
43.398258,-0.001776
43.880461,0.001792
44.362664,-0.005079
44.844867,0.002644
45.327069,-0.004762
45.809272,0.001233
46.291475,-0.006451
46.773678,0.000248
47.255881,0.001645
47.738084,-0.002314
48.220287,0.004096
48.702489,-0.003989
49.184692,0.002294
49.666895,-0.006927
50.149098,-0.000713
50.631301,-0.002298
51.113504,-0.003705
51.595707,0.000345
52.077909,-0.004271
52.560112,0.002885
53.042315,-0.007005
53.524518,-0.002276
54.006721,-0.006919
54.488924,-0.004889
54.971127,-0.002870
55.453330,-0.005573
55.935532,0.001212
56.417735,-0.004528
56.899938,0.004111
57.382141,-0.001563
57.864344,0.001722
58.346547,0.001767
58.828750,0.000917
59.310952,0.004778
59.793155,-0.002145
60.275358,0.003128
60.757561,-0.004666
61.239764,-0.000285
61.721967,-0.001507
62.204170,0.000682
62.686373,0.003160
63.168575,-0.000759
63.650778,0.005655
64.132981,-0.003331
64.615184,0.001091
65.097387,-0.001200
65.579590,-0.001512
66.061793,-0.001513
66.543995,-0.003025
67.026198,0.002911
67.508401,-0.003226
67.990604,0.000969
68.472807,-0.004144
68.955010,-0.002769
69.437213,-0.002420
69.919416,-0.003654
