XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,0.000001
500.044372,0.000001
500.526574,0.000001
501.008777,0.000001
501.490980,2.257041
501.973183,4.111110
502.455386,2.758925
502.937589,0.000001
503.419792,0.000001
503.901995,0.000001
504.384197,0.609483
504.866400,0.787091
505.348603,0.957572
505.830806,0.600833
506.313009,0.000001
506.795212,0.000001
507.277415,0.869250
507.759617,1.333413
508.241820,0.000001
508.724023,0.000001
509.206226,0.946526
509.688429,2.504107
510.170632,3.493139
510.652835,2.089829
511.135038,0.658815
511.617240,0.541172
512.099443,0.491969
512.581646,0.213037
513.063849,0.429820
513.546052,1.355287
514.028255,0.658880
514.510458,0.211335
514.992660,0.669662
515.474863,0.319537
515.957066,0.000001
516.439269,0.000001
516.921472,0.000001
517.403675,1.274793
517.885878,2.060128
518.368081,1.469981
518.850283,0.000001
519.332486,0.000001
519.814689,0.000001
520.296892,1.221588
520.779095,0.956641
521.261298,0.098193
521.743501,0.718783
522.225703,0.723749
522.707906,0.000001
523.190109,0.449091
523.672312,2.076523
524.154515,1.326789
524.636718,0.305281
525.118921,0.000001
525.601124,0.000001
526.083326,0.000001
526.565529,0.265217
527.047732,0.000001
527.529935,0.000001
528.012138,0.236551
528.494341,0.000001
528.976544,0.000001
529.458746,0.000001
529.940949,0.000001
530.423152,1.554502
530.905355,1.302349
531.387558,0.285479
531.869761,0.000001
532.351964,0.000001
532.834166,0.385990
533.316369,0.216504
533.798572,0.031168
534.280775,0.166162
534.762978,0.053716
535.245181,0.195982
535.727384,1.720116
536.209587,2.542338
536.691789,1.071228
537.173992,0.662680
537.656195,0.995893
538.138398,0.999205
538.620601,0.111758
539.102804,0.000001
539.585007,0.531120
540.067209,1.267188
540.549412,0.000001
541.031615,0.000001
541.513818,0.000001
541.996021,0.502288
542.478224,0.000001
542.960427,0.000001
543.442630,0.000001
543.924832,0.000001
544.407035,0.000001
544.889238,0.000001
545.371441,0.000001
545.853644,2.452955
546.335847,3.482402
546.818050,1.701894
547.300252,0.000001
547.782455,0.000001
548.264658,0.779877
548.746861,1.708870
549.229064,0.784577
549.711267,0.000001
550.193470,0.000001
550.675673,1.441560
551.157875,1.660041
551.640078,0.234482
552.122281,0.258974
552.604484,1.276623
553.086687,1.584155
553.568890,1.711761
554.051093,0.933748
554.533295,0.546549
555.015498,1.360935
555.497701,0.901088
555.979904,0.401921
556.462107,0.478029
556.944310,0.000001
557.426513,0.005004
557.908715,0.491010
558.390918,0.000001
558.873121,0.000001
559.355324,0.000001
559.837527,0.000001
560.319730,0.000001
560.801933,0.000001
561.284136,0.000001
561.766338,1.870031
562.248541,2.134750
562.730744,0.540411
563.212947,0.000001
563.695150,0.000001
564.177353,0.969679
564.659556,1.666821
565.141758,1.192972
565.623961,1.307470
566.106164,0.283152
566.588367,0.000001
567.070570,0.000001
567.552773,1.024779
568.034976,1.165358
568.517179,0.000001
568.999381,0.000001
569.481584,0.000001
569.963787,0.000001
570.445990,0.660263
570.928193,0.000001
571.410396,0.000001
571.892599,0.000001
572.374801,0.386080
572.857004,0.696583
573.339207,0.840776
573.821410,0.523689
574.303613,0.114888
574.785816,0.758743
575.268019,0.000001
575.750222,0.000001
576.232424,0.000001
576.714627,0.333060
577.196830,0.000001
577.679033,0.000001
578.161236,0.691021
578.643439,0.000001
579.125642,0.000001
579.607844,0.000001
