XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,30.904722
500.044372,28.674059
500.526574,26.650572
501.008777,26.849438
501.490980,26.895703
501.973183,27.182201
502.455386,28.120264
502.937589,29.287999
503.419792,28.236526
503.901995,25.384368
504.384197,25.202286
504.866400,27.789109
505.348603,30.274430
505.830806,30.058010
506.313009,27.915261
506.795212,27.013379
507.277415,27.647211
507.759617,29.084148
508.241820,28.855206
508.724023,27.312589
509.206226,28.395894
509.688429,28.998083
510.170632,28.302131
510.652835,29.053000
511.135038,29.811998
511.617240,29.298609
512.099443,27.755576
512.581646,27.888658
513.063849,29.176273
513.546052,28.858821
514.028255,28.106402
514.510458,27.745547
514.992660,27.352497
515.474863,28.038321
515.957066,29.371981
516.439269,28.846093
516.921472,27.837418
517.403675,28.308211
517.885878,30.243217
518.368081,31.627629
518.850283,29.930096
519.332486,28.185689
519.814689,26.356976
520.296892,25.592146
520.779095,27.686746
521.261298,29.343358
521.743501,29.033965
522.225703,28.771116
522.707906,29.805544
523.190109,29.561896
523.672312,28.143921
524.154515,28.392529
524.636718,29.057505
525.118921,28.204491
525.601124,27.033255
526.083326,28.673761
526.565529,28.395863
527.047732,26.932002
527.529935,27.898185
528.012138,29.595623
528.494341,29.917417
528.976544,28.536629
529.458746,30.171400
529.940949,32.003208
530.423152,29.172576
530.905355,27.486169
531.387558,27.915718
531.869761,28.666431
532.351964,29.746792
532.834166,29.010881
533.316369,27.569493
533.798572,27.707462
534.280775,26.290633
534.762978,24.902817
535.245181,28.092591
535.727384,29.911337
536.209587,29.063841
536.691789,29.913368
537.173992,29.549510
537.656195,29.031168
538.138398,30.209295
538.620601,30.150763
539.102804,29.079751
539.585007,28.184770
540.067209,26.790605
540.549412,26.327816
541.031615,28.263470
541.513818,30.960049
541.996021,31.526398
542.478224,30.203209
542.960427,28.866749
543.442630,27.695141
543.924832,27.807719
544.407035,28.293691
544.889238,28.621253
545.371441,30.238874
545.853644,29.328617
546.335847,27.071181
546.818050,27.375078
547.300252,27.726941
547.782455,28.147846
548.264658,28.665957
548.746861,27.793366
549.229064,27.690938
549.711267,28.799180
550.193470,29.639766
550.675673,30.482619
551.157875,30.278018
551.640078,28.255758
552.122281,27.386332
552.604484,27.791391
553.086687,28.512545
553.568890,29.557659
554.051093,28.696691
554.533295,28.005203
555.015498,28.154030
555.497701,26.905271
555.979904,26.801227
556.462107,26.836698
556.944310,26.355910
557.426513,28.511109
557.908715,30.938907
558.390918,30.764079
558.873121,29.763016
559.355324,29.384084
559.837527,28.876374
560.319730,27.899142
560.801933,27.751709
561.284136,28.886778
561.766338,29.084768
562.248541,28.258478
562.730744,28.450606
563.212947,29.729788
563.695150,30.502636
564.177353,29.416347
564.659556,28.578521
565.141758,28.704224
565.623961,29.337494
566.106164,30.496928
566.588367,29.498090
567.070570,28.546565
567.552773,29.842456
568.034976,29.663045
568.517179,28.341013
568.999381,28.005361
569.481584,28.553565
569.963787,29.206387
570.445990,29.227827
570.928193,28.738439
571.410396,28.849252
571.892599,29.204402
572.374801,29.279005
572.857004,29.232031
573.339207,29.222528
573.821410,29.275476
574.303613,28.212329
574.785816,28.169711
575.268019,30.220854
575.750222,31.193689
576.232424,30.513934
576.714627,29.781444
577.196830,29.100092
577.679033,28.020083
578.161236,28.310068
578.643439,29.509528
579.125642,29.482597
579.607844,28.986494
