XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,87.876120
500.044372,89.801958
500.526574,90.887258
501.008777,91.587437
501.490980,90.881706
501.973183,89.233908
502.455386,88.145943
502.937589,89.761553
503.419792,89.263229
503.901995,87.491836
504.384197,86.847741
504.866400,87.145176
505.348603,87.580237
505.830806,86.335531
506.313009,85.915226
506.795212,86.349884
507.277415,88.205048
507.759617,91.069968
508.241820,92.268784
508.724023,93.101606
509.206226,92.451795
509.688429,90.152210
510.170632,89.506985
510.652835,89.250194
511.135038,88.468503
511.617240,89.097805
512.099443,89.623323
512.581646,88.884447
513.063849,89.493561
513.546052,91.226456
514.028255,90.525741
514.510458,89.010132
514.992660,89.481263
515.474863,90.893736
515.957066,91.869982
516.439269,90.099155
516.921472,90.202920
517.403675,92.388335
517.885878,90.273816
518.368081,90.765848
518.850283,90.254601
519.332486,86.675257
519.814689,87.281082
520.296892,88.964877
520.779095,90.276730
521.261298,90.662624
521.743501,89.552492
522.225703,89.331035
522.707906,90.074856
523.190109,91.427700
523.672312,91.295918
524.154515,90.151070
524.636718,88.960245
525.118921,88.509712
525.601124,91.695843
526.083326,95.699790
526.565529,93.925227
527.047732,91.316636
527.529935,90.976458
528.012138,92.510929
528.494341,91.725162
528.976544,91.781477
529.458746,92.874001
529.940949,90.638998
530.423152,90.029425
530.905355,90.820933
531.387558,91.621678
531.869761,92.047805
532.351964,90.722575
532.834166,91.269107
533.316369,92.005372
533.798572,91.997853
534.280775,91.428699
534.762978,89.973622
535.245181,90.078734
535.727384,91.063093
536.209587,92.544053
536.691789,92.724163
537.173992,91.250828
537.656195,90.449241
538.138398,89.968669
538.620601,89.647248
539.102804,90.569815
539.585007,92.878941
540.067209,93.609662
540.549412,92.060346
541.031615,92.530250
541.513818,93.779606
541.996021,92.010326
542.478224,91.987298
542.960427,92.485189
543.442630,90.092140
543.924832,89.214809
544.407035,88.653186
544.889238,89.562923
545.371441,91.819590
545.853644,90.606271
546.335847,89.839673
546.818050,90.600055
547.300252,90.450419
547.782455,89.372118
548.264658,89.545955
548.746861,91.375064
549.229064,91.613833
549.711267,91.244187
550.193470,91.728506
550.675673,91.128205
551.157875,90.695710
551.640078,92.199848
552.122281,92.773069
552.604484,91.641240
553.086687,92.198446
553.568890,93.057057
554.051093,91.221740
554.533295,90.267168
555.015498,91.071386
555.497701,89.419912
555.979904,87.811496
556.462107,89.328864
556.944310,91.498439
557.426513,91.762686
557.908715,91.378559
558.390918,91.175910
558.873121,90.604898
559.355324,91.651196
559.837527,93.074115
560.319730,94.084865
560.801933,94.783644
561.284136,92.750899
561.766338,90.862847
562.248541,90.982382
562.730744,90.741507
563.212947,91.603357
563.695150,94.245407
564.177353,93.855502
564.659556,91.543643
565.141758,91.264699
565.623961,92.292471
566.106164,93.159015
566.588367,92.236656
567.070570,91.740228
567.552773,91.732765
568.034976,90.608165
568.517179,90.488474
568.999381,91.070316
569.481584,91.425398
569.963787,91.033066
570.445990,90.904217
570.928193,91.121191
571.410396,91.194611
571.892599,91.649272
572.374801,91.890426
572.857004,92.215982
573.339207,92.215863
573.821410,91.950488
574.303613,91.325153
574.785816,91.292315
575.268019,91.734572
575.750222,90.605101
576.232424,89.826199
576.714627,90.400433
577.196830,90.881085
577.679033,90.197084
578.161236,90.056266
578.643439,92.111086
579.125642,93.109437
579.607844,92.071588
