XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,1.508050
500.044372,0.000001
500.526574,0.000001
501.008777,0.000001
501.490980,0.798940
501.973183,0.000001
502.455386,0.000001
502.937589,2.088713
503.419792,2.551612
503.901995,2.679634
504.384197,3.028174
504.866400,1.568915
505.348603,0.883153
505.830806,0.772473
506.313009,0.105604
506.795212,1.293415
507.277415,2.619200
507.759617,0.000001
508.241820,0.000001
508.724023,0.970540
509.206226,1.352167
509.688429,1.792727
510.170632,2.509452
510.652835,1.776457
511.135038,0.000001
511.617240,0.000001
512.099443,0.000001
512.581646,0.000001
513.063849,0.000001
513.546052,0.000001
514.028255,0.322016
514.510458,2.652366
514.992660,2.758452
515.474863,2.753364
515.957066,2.034544
516.439269,1.129289
516.921472,0.000001
517.403675,0.000001
517.885878,0.000001
518.368081,0.000001
518.850283,0.000001
519.332486,0.000001
519.814689,0.000001
520.296892,0.000001
520.779095,0.000001
521.261298,0.000001
521.743501,0.452168
522.225703,0.357250
522.707906,0.000001
523.190109,0.000001
523.672312,0.842317
524.154515,0.000001
524.636718,0.000001
525.118921,0.453592
525.601124,1.293658
526.083326,1.131113
526.565529,0.115574
527.047732,0.000001
527.529935,0.000001
528.012138,0.000001
528.494341,0.213658
528.976544,0.339383
529.458746,0.653218
529.940949,0.617686
530.423152,0.000001
530.905355,0.402815
531.387558,1.775643
531.869761,2.322831
532.351964,2.053319
532.834166,0.802357
533.316369,0.639777
533.798572,0.693380
534.280775,0.256486
534.762978,0.229393
535.245181,0.051229
535.727384,0.335841
536.209587,0.000001
536.691789,0.000001
537.173992,0.000001
537.656195,0.000001
538.138398,0.596414
538.620601,0.151358
539.102804,0.000001
539.585007,0.511536
540.067209,1.652217
540.549412,1.144250
541.031615,0.270838
541.513818,0.315757
541.996021,0.453817
542.478224,0.783962
542.960427,0.900498
543.442630,0.000001
543.924832,0.000001
544.407035,0.000001
544.889238,0.611177
545.371441,1.323535
545.853644,0.402552
546.335847,0.000001
546.818050,0.888690
547.300252,0.913373
547.782455,1.447588
548.264658,2.561958
548.746861,1.164562
549.229064,0.000001
549.711267,0.000001
550.193470,0.000001
550.675673,0.000001
551.157875,1.203388
551.640078,1.021197
552.122281,0.876497
552.604484,1.956716
553.086687,1.286616
553.568890,0.880465
554.051093,1.273981
554.533295,0.633101
555.015498,0.000001
555.497701,0.353635
555.979904,0.666355
556.462107,0.000001
556.944310,0.628919
557.426513,1.906570
557.908715,1.124123
558.390918,0.000001
558.873121,0.000001
559.355324,1.266430
559.837527,0.730279
560.319730,0.000001
560.801933,0.000001
561.284136,0.000001
561.766338,0.000001
562.248541,0.000001
562.730744,0.000001
563.212947,0.000001
563.695150,0.000001
564.177353,0.000001
564.659556,0.000001
565.141758,0.000001
565.623961,0.496273
566.106164,0.000001
566.588367,0.000001
567.070570,0.000001
567.552773,0.916312
568.034976,0.693656
568.517179,0.674735
568.999381,0.000001
569.481584,0.000001
569.963787,0.357949
570.445990,0.255230
570.928193,0.703868
571.410396,1.879927
571.892599,1.097863
572.374801,0.349430
572.857004,0.000001
573.339207,0.000001
573.821410,0.000001
574.303613,0.000001
574.785816,0.000001
575.268019,0.170131
575.750222,1.263054
576.232424,1.788231
576.714627,0.866276
577.196830,1.007614
577.679033,1.716153
578.161236,1.500585
578.643439,0.477903
579.125642,0.000001
579.607844,0.000001
