XLabel,Wavenumber
YLabel,%Transmittance
FileType,%Transmittance
DisplayDirection,20300
PeakDirection,20311
499.562169,24.478813
500.044372,24.230879
500.526574,23.099520
501.008777,20.684668
501.490980,18.644506
501.973183,16.774706
502.455386,18.453080
502.937589,18.489748
503.419792,15.367365
503.901995,13.455978
504.384197,12.770521
504.866400,12.601200
505.348603,12.014395
505.830806,11.066474
506.313009,10.844047
506.795212,11.690477
507.277415,13.102572
507.759617,11.793517
508.241820,10.555450
508.724023,10.909810
509.206226,9.868777
509.688429,10.132850
510.170632,11.139418
510.652835,11.115231
511.135038,10.311500
511.617240,8.228925
512.099443,7.765388
512.581646,8.640711
513.063849,10.348741
513.546052,11.038476
514.028255,9.563684
514.510458,8.724223
514.992660,9.935752
515.474863,11.470733
515.957066,9.928733
516.439269,10.244370
516.921472,12.766008
517.403675,12.311261
517.885878,11.931964
518.368081,12.533900
518.850283,14.207503
519.332486,14.562689
519.814689,14.631617
520.296892,15.974534
520.779095,15.392554
521.261298,13.762724
521.743501,14.026452
522.225703,16.444288
522.707906,17.793588
523.190109,17.920871
523.672312,18.961849
524.154515,20.781113
524.636718,21.779640
525.118921,22.406847
525.601124,22.930001
526.083326,23.175134
526.565529,24.147058
527.047732,24.141978
527.529935,24.397533
528.012138,25.328050
528.494341,26.902469
528.976544,28.634201
529.458746,29.438984
529.940949,29.632457
530.423152,29.431213
530.905355,30.631115
531.387558,31.595441
531.869761,32.969926
532.351964,34.545714
532.834166,34.610810
533.316369,34.863979
533.798572,34.959934
534.280775,35.861798
534.762978,36.085772
535.245181,36.582379
535.727384,37.599974
536.209587,38.706193
536.691789,40.790024
537.173992,40.441417
537.656195,40.280688
538.138398,40.743143
538.620601,42.061708
539.102804,43.273362
539.585007,43.335853
540.067209,44.975744
540.549412,44.984541
541.031615,45.890921
541.513818,46.791326
541.996021,45.698450
542.478224,45.810337
542.960427,46.611806
543.442630,48.879008
543.924832,48.790604
544.407035,47.386526
544.889238,48.375019
545.371441,49.607292
545.853644,48.687746
546.335847,46.684002
546.818050,47.613005
547.300252,48.931246
547.782455,49.279733
548.264658,49.375438
548.746861,48.817804
549.229064,48.465583
549.711267,47.039476
550.193470,46.452861
550.675673,46.596605
551.157875,45.404149
551.640078,44.758482
552.122281,42.806161
552.604484,38.090324
553.086687,34.362662
553.568890,31.984065
554.051093,30.761647
554.533295,30.429363
555.015498,29.401861
555.497701,30.020782
555.979904,31.698036
556.462107,34.515072
556.944310,38.336897
557.426513,40.722221
557.908715,43.487609
558.390918,46.339667
558.873121,47.786665
559.355324,49.045016
559.837527,50.736606
560.319730,52.934357
560.801933,55.382891
561.284136,57.130589
561.766338,58.243666
562.248541,60.243619
562.730744,60.917337
563.212947,60.907295
563.695150,63.262564
564.177353,64.600376
564.659556,64.657173
565.141758,65.130067
565.623961,66.167438
566.106164,67.566388
566.588367,67.957005
567.070570,68.692712
567.552773,69.296685
568.034976,69.707721
568.517179,70.649713
568.999381,70.716748
569.481584,70.273127
569.963787,70.316113
570.445990,71.184755
570.928193,72.167436
571.410396,73.444301
571.892599,75.058815
572.374801,75.590747
572.857004,75.568598
573.339207,75.687209
573.821410,75.301283
574.303613,74.384711
574.785816,74.307983
575.268019,74.019528
575.750222,73.451429
576.232424,73.798133
576.714627,74.462813
577.196830,75.624484
577.679033,76.219977
578.161236,76.422624
578.643439,76.668315
579.125642,77.326211
579.607844,78.711009
